Game/Additives;Text;;Additives;Dodatki;Aditivos;Aditivos
Game/All;Text;;All;Wszystkie;Todo;
Game/Appearance;Text;;Appearance;Wygl?d;Apariencia;Aparência
Game/Aroma;Text;;Aroma;Aromat;Aroma;Aroma
Game/AutoSave;Text;;AutoSave;AutoZapis;AutoGuardar;
Game/BugReport;Text;;Before reporting a bug, make sure you have the current version of the game (update the game). Enter the description of your error + your email in the fields below (optional, this will help fix the error). The reported error will be accompanied by a screenshot (photo) of the game + anonymous information about your hardware and a save of your game. The best testing is testing on production:};Przed zg?oszeniem b??du, upewnij si?, ?e masz aktualn? wersj? gry (zaktualizuj gr?). W polach poni?ej wprowad? opis swojego b??du + swój e-mail (opcjonalnie, u?atwi to naprawienie b??du). Do zg?oszonego b??du zostanie do??czony screenshot (zdj?cie) z gry + anonimowe informacje na temat Twojego sprz?tu i zapis twojej gry. Najlepsze testowanie to testowanie na produkcji : };Antes de reportar un error, asegurarse de tener la version actual del juego(Actualiza el juego). Escribe la descripcion de tu error + tu email en los campos inferiores (opcional, esto va a ayudar a arreglar el juego). El error reportado debe estar acompañado por una captura de pantalla (foto) del juego + información anonima sobre tu hardware y una copia de tu partida. El mejor testeo es testeado en producción:};
Game/BugReportEmail;Text;;raven;E-mail (opcjonalnie);Email (opcional);
Game/BugReportInputField;Text;;Enter in this field information about the error,  what exactly happened, how it happened. You can post links. Click here.;Wprowad? w to pole informacj? na temat b??du,  co si? dok?adnie wydarzy?o, jak do tego dosz?o. Mo?esz dodawa? linki. Kliknij tutaj.;Escribe en este campo información sobre el error, exactamente que ocurrio, como ocurrio. Puedes publicar links. Haz click aquí.;
Game/BugReportSuccess;Text;;An error has been reported. If the developer sobers up, he'll take care of your problem.;B??d zosta? zg?oszony. Jak developer wytrze?wieje, to zajmie si? twoim problemem.;Un error ha sido reportado. Si el desarrollador se despabila, se va a ocupar de tu problema.;
Game/Countries;Text;;Countries;Kraje;Países;Países
Key;Type;Desc;English;Polish;Spanish;Portuguese
Game/Create;Text;;Create;Stwórz;Crear;Crio
Game/CreationCost;Text;;Creation Cost;Koszt Stworzenia;Costo de creación;
Game/CreationDate;Text;;Creation Date;Data Utworzenia;Fecha de creación;
Game/DryingMethod;Text;;Drying Method;Metoda Suszenia;Metodo de secado;
Game/EpicRate0;Text;;The taste pierced my feet;Smak przeszy? moje stopy;El gusto agujereo mis pies;
Game/EpicRate1;Text;;For this taste I would give away my Palo Santo;Dla tego smaku odda?bym swoje Palo Santo;Por este gusto daria mi Palo Santo;
Game/EpicRate2;Text;;Eighth wonder of the world;Ósmy cud ?wiata;La octava maravilla del mundo;
Game/EpicRate3;Text;;My taste buds got orgasm;Moje kubki smakowe dosta?y orgazmu;Mis papilas gustativas tuvieron un orgasmo;
Game/EpicRate4;Text;;It looks like shit and tastes even better;Wygl?da jak gówno a smakuje jeszcze lepiej;;
Game/Fans;Text;;Fans:;Fani:;Aficionados:;Fãs:
Game/FinalEpicRate0;Text;;For a long time nothing so good appeared on the market, just buy this yerba and drink it.;Dawno na rynku nie pojawi?o si? nic tak dobrego, nic tylko kupowa? i pi?.;Hace mucho tiempo que nada tan bueno aparecia en el mercado, solo compra esta yerba y tomala.;
Game/FinalEpicRate1;Text;;White raven in the world of yerba, this taste will become the classic.;Bia?y kruk w ?wiecie yerb, ten smak przejdzie do klasyki.;Un cuervo blanco en el mundo de la yerba, el gusto va a volverse un clasico.;
Game/FinalRateBad0;Text;;If this yerba would cost $1, it still wouldn't be worth this price.;Je?li ta yerba kosztowa?aby $1, to nadal nie by?aby warta tej ceny.;Si esta yerba costara $1, aún no lo valdría.;
Game/FinalRateBad1;Text;;A low-quality product that doesn't stand out from the competitions.;Produkt niskiej jako?ci niczym niewyró?niaj?cy si? na tle konkurencji.;Un producto de baja calidad que no sobresale de sus competencia.;
Game/FinalRateGood0;Text;;And this is a product you should reach for, taste, aroma, appearance — that's it.;I to jest produkt, po który warto si?gn??, smak, zapach, wygl?d to jest to.;Este es un producto que deberias buscar, gusto, aroma, apariencia — solo eso.;
Game/FinalRateGood1;Text;;This yerba will surely find crowds of fans, it's a great product.;Ta yerba na pewno znajdzie rzesze fanów, jest bardzo dobrze.;Esta yerba seguro tendra una multitud de aficionados, es un gran producto.;
Game/FinalRateNormal0;Text;;It's not bad, but it's also not good, a typical average product, we were expecting something more.;Nie jest ?le, ale tez nie jest dobrze, typowy ?redniak, oczekiwali?my czego? wi?cej.;No es mala, tampoco es buena, un tipico producto promedio, esperabamos algo más.;
