Key,Type,Desc,English,Polish,Spanish,Portuguese
Game/Additives,Text,,Additives,Dodatki,Aditivos,Aditivos
Game/All,Text,,All,Wszystkie,,
Game/Appearance,Text,,Appearance,Wygląd,Apariencia,Aparência
Game/Aroma,Text,,Aroma,Aromat,Aroma,Aroma
Game/AutoSave,Text,,AutoSave,AutoZapis,,
Game/BugReport,Text,,"Before reporting a bug, make sure you have the current version of the game (update the game). Enter the description of your error + your email in the fields below (optional, this will help fix the error). The reported error will be accompanied by a screenshot (photo) of the game + anonymous information about your hardware and a save of your game. The best testing is testing on production:}","Przed zgłoszeniem błędu, upewnij się, że masz aktualną wersję gry (zaktualizuj grę). W polach poniżej wprowadź opis swojego błędu + swój e-mail (opcjonalnie, ułatwi to naprawienie błędu). Do zgłoszonego błędu zostanie dołączony screenshot (zdjęcie) z gry + anonimowe informacje na temat Twojego sprzętu i zapis twojej gry. Najlepsze testowanie to testowanie na produkcji : }",,
Game/BugReportEmail,Text,,Email (optional),E-mail (opcjonalnie),,
Game/BugReportInputField,Text,,"Enter in this field information about the error,  what exactly happened, how it happened. You can post links. Click here.","Wprowadź w to pole informację na temat błędu,  co się dokładnie wydarzyło, jak do tego doszło. Możesz dodawać linki. Kliknij tutaj.",,
Game/BugReportSuccess,Text,,"An error has been reported. If the developer sobers up, he'll take care of your problem.","Błąd został zgłoszony. Jak developer wytrzeźwieje, to zajmie się twoim problemem.",,
Game/Countries,Text,,Countries,Kraje,Países,Países
Game/Create,Text,,Create,Stwórz,Crear,Crio
Game/CreationCost,Text,,Creation Cost,Koszt Stworzenia,,
Game/CreationDate,Text,,Creation Date,Data Utworzenia,,
Game/DryingMethod,Text,,Drying Method,Metoda Suszenia,,
Game/EpicRate0,Text,,The taste pierced my feet,Smak przeszył moje stopy,,
Game/EpicRate1,Text,,For this taste I would give away my Palo Santo,Dla tego smaku oddałbym swoje Palo Santo,,
Game/EpicRate2,Text,,Eighth wonder of the world,Ósmy cud świata,,
Game/EpicRate3,Text,,My taste buds got orgasm,Moje kubki smakowe dostały orgazmu,,
Game/EpicRate4,Text,,It looks like shit and tastes even better,Wygląda jak gówno a smakuje jeszcze lepiej,,
Game/Fans,Text,,Fans:,Fani:,Aficionados:,Fãs:
Game/FinalEpicRate0,Text,,"For a long time nothing so good appeared on the market, just buy this yerba and drink it.","Dawno na rynku nie pojawiło się nic tak dobrego, nic tylko kupować i pić.",,
Game/FinalEpicRate1,Text,,"White raven in the world of yerba, this taste will become the classic.","Biały kruk w świecie yerb, ten smak przejdzie do klasyki.",,
Game/FinalRateBad0,Text,,"If this yerba would cost $1, it still wouldn't be worth this price.","Jeśli ta yerba kosztowałaby $1, to nadal nie byłaby warta tej ceny.",,
Game/FinalRateBad1,Text,,A low-quality product that doesn't stand out from the competitions.,Produkt niskiej jakości niczym niewyróżniający się na tle konkurencji.,,
Game/FinalRateGood0,Text,,"And this is a product you should reach for, taste, aroma, appearance — that's it.","I to jest produkt, po który warto sięgnąć, smak, zapach, wygląd to jest to.",,
